"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 08 12:40:45 IST 2024","Thu Aug 08 12:41:00 IST 2024","15526","","User verify the components present on Taxonomy compliance dashboard","","","","User verify the components present on Taxonomy compliance dashboard",""
"passed","Thu Aug 08 12:40:35 IST 2024","Thu Aug 08 12:40:45 IST 2024","10099","","User verify the components present on Taxonomy overview dashboard","","","","User verify the components present on Taxonomy overview dashboard",""
